name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£33500,2020,74526,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955780?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£27960,2021,48377,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955778?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6995,2017,80375,1.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955771?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4799,2010,126000,1.8,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955705?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2499,2008,73629,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955702?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£18500,2019,33000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955693?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3995,2014,62231,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955684?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1895,2003,121728,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955682?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£7480,2015,29000,1.3,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955672?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£2799,2008,66250,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955669?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£10199,2021,54500,,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955658?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£7550,2017,50000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955643?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£12181,2022,47353,1.3,17/04/2025,17,4,2025,43,https://www.autotrader.co.uk/car-details/202504171457321?journey=FEATURED_LISTING_JOURNEY&sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4550,2012,150000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955641?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3450,2014,102500,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955613?sort=most-recent&twcs=true&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1795,2002,90000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955611?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£7900,2015,85000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955602?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1495,2008,150000,1.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955601?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4799,2011,50352,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955578?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3500,2012,79000,1.25,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955573?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£1995,2011,96083,1.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955567?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
